source	type	name_source	name	description
Greek	Chthonic deities			Empusa (Ἔμπουσα), a monstrous underworld spirit or spirits with flaming hair, the leg of a goat and a leg of bronze. They are also servants of Hecate.
Greek	Chthonic deities			Erebos (Ἔρεβος), the primeval god of darkness, his mists encircled the underworld and filled the hollows of the earth
Greek	Chthonic deities			Erinyes (Ἐρινύες), the Furies, goddesses of retribution, known as "The Kindly Ones"
Greek	Chthonic deities			Alecto (Ἀληκτώ), the unceasing one
Greek	Chthonic deities			Tisiphone (Τισιφόνη), avenger of murder
Greek	Chthonic deities			Megaera (Μέγαιρα), the jealous one
Greek	Chthonic deities			Hecate (Ἑκάτη), goddess of magic, witchcraft, the night, moon, ghosts, and necromancy
Greek	Chthonic deities			Aiakos (Αἰακός), former mortal king of Aegina, guardian of the keys of Hades and judge of the men of Europe
Greek	Chthonic deities			Minos (Μίνως), former mortal king of Crete and judge of the final vote
Greek	Chthonic deities			Rhadamanthys (Ῥαδάμανθυς), former mortal lawmaker and judge of the men of Asia
Greek	Chthonic deities			Keuthonymos (Κευθόνυμος), an Underworld spirit and father of Menoetes
Greek	Chthonic deities			Lamia (Λάμια), a vampiric Underworld spirit or spirits in the train of Hecate
Greek	Chthonic deities			Lampades (Λαμπάδες), torch-bearing Underworld nymphs
Greek	Chthonic deities			Gorgyra (Γοργύρα)
Greek	Chthonic deities			Orphne (Ορφνη), a Lampad nymph of Hades, mother of Askalaphos
Greek	Chthonic deities			Macaria (Μακαρία), daughter of Hades and goddess of blessed death (not to be confused with the daughter of Heracles)
Greek	Chthonic deities			Melinoe (Μελινόη), daughter of Persephone and Zeus who presided over the propitiations offered to the ghosts of the dead
Greek	Chthonic deities			Menoetes (Μενοίτης), an Underworld spirit who herded the cattle of Hades
Greek	Chthonic deities			Mormo (Μορμώ), a fearsome Underworld spirit or spirits in the train of Hecate
Greek	Chthonic deities			Nyx (Νύξ), the primeval goddess of night
Greek	Chthonic deities			Hades (¨Αδης) God of underworld and all things beneath the earth
Greek	Chthonic deities			Persephone (Περσεφόνη), queen of the underworld, wife of Hades and goddess of spring growth
Greek	Chthonic deities
Greek	Chthonic deities			Acheron (Αχέρων), the river of woe
Greek	Chthonic deities			Kokytos (Kωκυτός), the river of wailing
Greek	Chthonic deities			Lethe (Λήθη), the river of forgetfulness
Greek	Chthonic deities			Phlegethon (Φλεγέθων), the river of fire
Greek	Chthonic deities			Styx (Στύξ), the river of hatred and oaths
Greek	Chthonic deities			Tartarus (Τάρταρος), the primeval god of the dark, stormy pit of Hades
Greek	Chthonic deities			Thanatos (Θάνατος), spirit of death and minister of Hades
Greek	Chthonic deities			Zagreus (Ζαγρεύς), an underworld god, possibly a son of Zeus and Persephone
Greek	Sea deities			Aegaeon (Αιγαίων), god of violent sea storms and ally of the Titans
Greek	Sea deities			Achelous (Αχελώος), shark-shaped sea spirit[citation needed]
Greek	Sea deities			Amphitrite (Αμφιτρίτη), sea goddess and consort of Poseidon
Greek	Sea deities			Benthesikyme (Βενθεσικύμη), daughter of Poseidon, who resided in Ethiopia
Greek	Sea deities			Brizo (Βριζώ), patron goddess of sailors, who sent prophetic dreams
Greek	Sea deities			Ceto (Κῆτώ), goddess of the dangers of the ocean and of sea monsters
Greek	Sea deities			Charybdis (Χάρυβδις), a sea monster and spirit of whirlpools and the tide
Greek	Sea deities			Cymopoleia (Κυμοπόλεια), a daughter of Poseidon married to the Giant Briareus
Greek	Sea deities			Delphin (Δέλφιν), the leader of the dolphins, Poseidon placed him in the sky as the constellation Delphin
Greek	Sea deities			Eidothea (Ειδοθέα), prophetic sea nymph and daughter of Proteus
Greek	Sea deities			Glaucus (Γλαῦκος), the fisherman's sea god and oracle
Greek	Sea deities			Gorgons (Γοργόνες), three monstrous sea spirits
Greek	Sea deities			Euryale (Εὐρυάλη)
Greek	Sea deities			Medusa (Μέδουσα), the only mortal of the three
Greek	Sea deities			Stheno (Σθεννώ)
Greek	Sea deities			The Graeae (Γραῖαι), three ancient sea spirits who personified the white foam of the sea; they shared one eye and one tooth between them
Greek	Sea deities			Deino (Δεινώ)
Greek	Sea deities			Enyo (Ενυώ)
Greek	Sea deities			Pemphredo (Πεμφρεδώ)
Greek	Sea deities			The Harpies (Ηάρπυιαι), winged spirits of sudden, sharp gusts of wind
Greek	Sea deities			Aello (Αελλώ) or Aellope (Αελλώπη) or Aellopous (Αελλόπους)
Greek	Sea deities			Celaeno (Κελαινώ)
Greek	Sea deities			Ocypete (Ωκυπέτη) or Ocypode (Ωκυπόδη) or Ocythoe (Ωκυθόη)
Greek	Sea deities			Podarge (Ποδάργη) or Podarke (Ποδάρκη)
Greek	Sea deities			Nicothoe (Νικοθόη)
Greek	Sea deities			Hippocampi (´Ιππόκαμπος), horses of the sea that have the upper-body of a horse and the lower-body of a fish
Greek	Sea deities			The Ichthyocentaurs (Ιχθυοκένταυροι), a race of centaurine sea-gods with the upper bodies of men, the lower fore-parts of horses, ending in the serpentine tails of fish
Greek	Sea deities			Aphros (Άφρος) "sea foam"
Greek	Sea deities			Bythos (Βύθος) "sea depth"
Greek	Sea deities			Karkinos (Καρκίνος), a giant crab who allied itself with the Hydra against Heracles. When it died, Hera placed it in the sky as the constellation Cancer.
Greek	Sea deities			Ladon (Λάδων), a hundred-headed sea serpent who guarded the western reaches of the sea, and the island and golden apples of the Hesperides
Greek	Sea deities			Leucothea (Λευκοθέα), a sea goddess who aided sailors in distress
Greek	Sea deities			Nereides (Νηρηίδες), sea nymphs
Greek	Sea deities			Arethusa (Αρετούσα), a daughter of Nereus who was transformed into a fountain
Greek	Sea deities			Dynamene (Δυναμένη), associated with the might and power of great ocean swells
Greek	Sea deities			Galene (Γαλήνη), goddess of calm seas
Greek	Sea deities			Psamathe (Πσαμάθη), goddess of sand beaches
Greek	Sea deities			Thetis (Θέτις), leader of the Nereids who presided over the spawning of marine life in the sea
Greek	Sea deities			Nereus (Νηρέας), the old man of the sea, and the god of the sea's rich bounty of fish
Greek	Sea deities			Nerites (Νερίτης), a sea spirit who was transformed into a shell-fish by Aphrodite
Greek	Sea deities			Oceanides (Ωκεανίδες), sea nymphs, and patronesses of bodies of fresh water
Greek	Sea deities			Some notable Oceanides include:
Greek	Sea deities			Idyia (Ίδυια), wife of the Colchian king Aeetes, mother of Medea
Greek	Sea deities			Metis, Zeus' first wife, whom Zeus impregnated with Athena and then swallowed.
Greek	Sea deities			Styx, goddess of the river Styx
Greek	Sea deities			For a more complete list, see List of Oceanids
Greek	Sea deities			Oceanus (Ὠκεανός), Titan god of the Earth-encircling river Oceanus (the ocean), the fountain of all the Earth's fresh water
Greek	Sea deities			Palaemon (Παλαίμων), a young sea god who aided sailors in distress
Greek	Sea deities			Phorcys (Φόρκυς), god of the hidden dangers of the deep
Greek	Sea deities			Pontos (Πόντος), primeval god of the sea, father of the fish and other sea creatures
Greek	Sea deities
Greek	Sea deities			Proteus (Πρωτεύς), a shape-shifting, prophetic old sea god, and the herdsman of Poseidon's seals
Greek	Sea deities			Poseidon (Ποσειδῶν), king of the sea and lord of the sea gods; also god of rivers, flood and drought, earthquakes, and horses
Greek	Sea deities			Sangarius (Σαγγάριος), a river-god
Greek	Sea deities			Scylla (Σκύλλα), monstrous sea goddess
Greek	Sea deities			The Sirens (Σειρῆνες), sea nymphs who lured sailors to their death with their song
Greek	Sea deities			Aglaope (Αγλαόπη) or Aglaophonos (Αγλαόφωνος) or Aglaopheme (Αγλαοφήμη)
Greek	Sea deities			Himerope (Ίμερόπη)
Greek	Sea deities			Leucosia (Λευκοσία)
Greek	Sea deities			Ligeia (Λιγεία)
Greek	Sea deities			Molpe (Μολπή)
Greek	Sea deities			Parthenope (Παρθενόπη)
Greek	Sea deities			Peisinoe (Πεισινόη) or Peisithoe (Πεισιθόη)
Greek	Sea deities			Raidne (Ραίδνη)
Greek	Sea deities			Teles (Τέλης)
Greek	Sea deities			Thelchtereia (Θελχτήρεια)
Greek	Sea deities			Thelxiope (Θελξιόπη) or Thelxiepeia (Θελξιέπεια)
Greek	Sea deities			The Telchines (Τελχινες), sea spirits native to the island of Rhodes; the gods killed them when they turned to evil magic
Greek	Sea deities			Actaeus (Ακταίος)
Greek	Sea deities			Argyron (Αργυρών)
Greek	Sea deities			Atabyrius (Αταβύριος)
Greek	Sea deities			Chalcon (Χαλκών)
Greek	Sea deities			Chryson (Χρυσών)
Greek	Sea deities			Damon (Δαμων) or Demonax (Δημώναξ)
Greek	Sea deities			Damnameneus (Δαμναμενεύς)
Greek	Sea deities			Dexithea (Δεξιθέα), mother of Euxanthios by Minos
Greek	Sea deities			Lycos (Λύκος) or Lyktos (Λύκτος)
Greek	Sea deities			Lysagora (Λυσαγόρα)?
Greek	Sea deities			Makelo (Μακελώ)
Greek	Sea deities			Megalesius (Μεγαλήσιος)
Greek	Sea deities			Mylas (Μύλας)
Greek	Sea deities			Nikon (Νίκων)
Greek	Sea deities			Ormenos (Ορμενος)
Greek	Sea deities			Simon (Σίμων)
Greek	Sea deities			Skelmis (Σκελμις)
Greek	Sea deities			Tethys (Τηθύς), Titan goddess of the sources of fresh water, and the mother of the rivers, springs, streams, fountains, and clouds
Greek	Sea deities			Thalassa (Θάλασσα), primeval goddess of the sea and consort of Pontos
Greek	Sea deities			Thaumas (Θαῦμας), god of the wonders of the sea
Greek	Sea deities			Thoosa (Θόοσα), goddess of swift currents
Greek	Sea deities			Triteia (Τριτεια), daughter of Triton and companion of Ares
Greek	Sea deities			Triton (Τρίτων), fish-tailed son and herald of Poseidon
Greek	Sea deities			Tritones (Τρίτωνες), fish-tailed spirits in Poseidon's retinue
Greek	Sky deities
Greek	Sky deities			Achelois (Ἀχελωΐς), "she who washes pain away", a minor moon goddess
Greek	Sky deities			Aeolus (Aiolos) (Αίολος), god of the winds.
Greek	Sky deities			Aether (Αιθήρ), primeval god of the upper air
Greek	Sky deities			Alectrona (Αλεκτρονα), solar goddess of the morning or waking up
Greek	Sky deities			Aparctias (Απαρκτίας), another name for the north wind (not identified with Boreas)
Greek	Sky deities			Apheliotes (Αφηλιώτης), god of the east wind (when Eurus is considered southeast)
Greek	Sky deities			Argestes (Αργέστης), another name for the west or northwest wind
Greek	Sky deities			Caicias (Καικίας), god of the northeast wind
Greek	Sky deities			Circios (Κίρκιος) or Thraskias (Θρασκίας), god of the north-northwest wind
Greek	Sky deities			Euronotus (Ευρονότος), god of the southeast wind
Greek	Sky deities			Lips (Λίψ), god of the southwest wind
Greek	Sky deities			Skeiron (Σκείρων), god of the northwest wind
Greek	Sky deities			Anemoi, (Άνεμοι), gods of the winds
Greek	Sky deities			Boreas (Βορέας), god of the north wind and of winter
Greek	Sky deities			Eurus (Εύρος), god of the unlucky east or southeast wind
Greek	Sky deities			Notus (Νότος) god of the south wind
Greek	Sky deities			Zephyrus (Ζέφυρος), god of the west wind
Greek	Sky deities			Apollo, (Απόλλων), Olympian God of the sun, light, knowledge, music, healing, and the arts
Greek	Sky deities			Artemis, (´Αρτεμις), Olympian Goddess of virgins and young women, of the moon, nature, hunt and the wild animals
Greek	Sky deities			Arke (Άρκη), messenger of the Titans and twin sister of Iris
Greek	Sky deities			Astraios (Ἀστραῖος), Titan god of stars and planets, and the art of astrology
Greek	Sky deities			The Astra Planeti (Αστρα Πλανετοι), gods of the five wandering stars or planets
Greek	Sky deities			Stilbon (Στιλβών), god of Hermaon, the planet Mercury
Greek	Sky deities			Eosphorus (Ηωσφόρος), god of Venus the morning star
Greek	Sky deities			Hesperus (Ἓσπερος), god of Venus the evening star
Greek	Sky deities			Pyroeis (Πυρόεις), god of Areios, the planet Mars
Greek	Sky deities			Phaethon (Φαέθων), god of Dios, the planet Jupiter
Greek	Sky deities			Phaenon (Φαίνων), god of Kronion, the planet Saturn
Greek	Sky deities			Aurai (Αὖραι), nymphs of the cooling breeze
Greek	Sky deities			Aura (Αὖρα), goddess of the breeze and the fresh, cool air of early morning
Greek	Sky deities			Chaos (Χάος), the nothingness from which all else sprang, she also represented the lower atmosphere which surrounded the earth
Greek	Sky deities			Chione (Χιόνη), goddess of snow and daughter of Boreas
Greek	Sky deities			Eos (Ἠώς), Titan goddess of the dawn
Greek	Sky deities			Ersa (Ἕρση), goddess of the morning dew
Greek	Sky deities			Helios (Ἥλιος), Titan god of the sun and guardian of oaths
Greek	Sky deities			Hemera (Ημέρα), primeval goddess of the day
Greek	Sky deities			Hera (Ήρα), Queen of Heaven and goddess of the air and starry constellations
Greek	Sky deities			The Hesperides, (´Εσπερίδες), nymphs that represented a star cluster in the constellation Taurus (Pleiades) and were associated with rain
Greek	Sky deities			Iris (Ίρις), goddess of the rainbow and divine messenger
Greek	Sky deities			Men (Μήν), a lunar deity worshiped in the western interior parts of Anatolia.
Greek	Sky deities			Nephelai (Νεφέλαι), cloud nymphs
Greek	Sky deities			Nyx, (Νύξ), goddess of the night
Greek	Sky deities			Pandia (Πανδία), daughter of Selene and Zeus
Greek	Sky deities			The Pleiades (Πλειάδες), goddesses of the constellation Pleiades and were associated with rain
Greek	Sky deities			Alcyone (Αλκυόνη)
Greek	Sky deities			Sterope (Στερόπη)
Greek	Sky deities			Celaeno (Κελαινώ)
Greek	Sky deities			Electra (Ηλέκτρα)
Greek	Sky deities			Maia (Μαία)
Greek	Sky deities			Merope (Μερώπη)
Greek	Sky deities			Taygete (Ταϋγέτη)
Greek	Sky deities			Sabazios (Σαβάζιος), the nomadic horseman and sky father god of the Phrygians and Thracians
Greek	Sky deities			Selene (Σελήνη), Titan goddess of the moon
Greek	Sky deities			Uranus (Ουρανός), primeval god of the heavens
Greek	Sky deities			Zeus (Ζεύς), King of Heaven and god of the sky, clouds, thunder, and lightning
Greek	Rustic deities
Greek	Rustic deities			Aetna (Αἴτνη), goddess of the volcanic Mount Etna in Sicily
Greek	Rustic deities			Amphictyonis (Αμφικτυονίς), goddess of wine and friendship between nations, a local form of Demeter
Greek	Rustic deities			Anthousai (Ανθούσαι), flower nymphs
Greek	Rustic deities			Aristaeus (Ἀρισταῖος), god of bee-keeping, cheese-making, herding, olive-growing, and hunting
Greek	Rustic deities			Attis (Άττις), vegetation god and consort of Cybele
Greek	Rustic deities			Britomartis (Βριτόμαρτις), Cretan goddess of hunting and nets used for fishing, fowling and the hunting of small game
Greek	Rustic deities			Cabeiri (Κάβειροι), gods or spirits who presided over the Mysteries of the islands of Lemnos and Samothrace
Greek	Rustic deities			Aitnaios (Αιτναιος)
Greek	Rustic deities			Alkon (Αλκων)
Greek	Rustic deities			Eurymedon (Ευρυμεδών)
Greek	Rustic deities			Onnes (Όννης)
Greek	Rustic deities			Tonnes (Τόννης)
Greek	Rustic deities			Centaurs (Κένταυροι), a race of half-man, half-horse beings
Greek	Rustic deities			Asbolus (Άσβολος)
Greek	Rustic deities			Chariclo (Χαρικλώ), wife of the centaur Chiron
Greek	Rustic deities			Chiron (Χείρων), the eldest and wisest of the Centaurs
Greek	Rustic deities			Eurytion (Ευρυτιων)
Greek	Rustic deities			Nessus (Νέσσος), a ferryman at the river Euenus
Greek	Rustic deities			Pholus (Φώλος)
Greek	Rustic deities			The Cercopes (Κέρκοπες), a pair of monkey-like thieves who plagued the land of Lydia in western Anatolia
Greek	Rustic deities			Akmon (Ακμών)
Greek	Rustic deities			Passalos (Πάσσαλος)
Greek	Rustic deities			Chloris (Χλωρίς), goddess of flowers and wife of Zephyrus
Greek	Rustic deities			Comus (Κόμος), god of revelry, merrymaking, and festivity
Greek	Rustic deities			Corymbus (Κόρυμβος), god of the fruit of the ivy
Greek	Rustic deities			The Curetes (Κουρέτες), guardians of infant Zeus on Mount Ida, barely distinguished from the Dactyls and the Corybantes
Greek	Rustic deities			Cybele (Κυβέλη), a Phrygian mountain goddess associated with Rhea
Greek	Rustic deities			Dindymene, is one of the names of Cybele
Greek	Rustic deities			The Dactyls (Δάκτυλοι) "fingers", minor deities originally representing fingers of a hand
Greek	Rustic deities			Acmon (Ακμών)
Greek	Rustic deities			Damnameneus (Δαμναμενεύς)
Greek	Rustic deities			Delas (Δήλας)
Greek	Rustic deities			Epimedes (Επιμήδης)
Greek	Rustic deities			Heracles (not to be confused with the hero Heracles)
Greek	Rustic deities			Iasios (Ιάσιος)
Greek	Rustic deities			Kelmis (Κελμις)
Greek	Rustic deities			Skythes (Σκύθης)
Greek	Rustic deities			companions of Cybele
Greek	Rustic deities			Titias (Τιτίας)
Greek	Rustic deities			Cyllenus (Κύλληνος)
Greek	Rustic deities			Dionysus (Διόνυσος), god of wine, drunken orgies, and wild vegetation
Greek	Rustic deities			Dryades (Δρυάδες), tree and forest nymphs
Greek	Rustic deities			Gaia (Γαία), primeval goddess of the earth
Greek	Rustic deities			Epimeliades (Επιμελίδες), nymphs of highland pastures and protectors of sheep flocks
Greek	Rustic deities			Hamadryades (Αμαδρυάδες), oak tree dryades
Greek	Rustic deities			Hecaterus (Ηεκατερος), minor god of the hekateris — a rustic dance of quickly moving hands — and perhaps of the skill of hands in general
Greek	Rustic deities			Hephaestus (Ήφαιστος), god of metalworking
Greek	Rustic deities			Hermes (Ερμής), god of herds and flocks, of roads and boundary stones, and the god of thieves.
Greek	Rustic deities			The Horae (Ώρες), The Hours, the goddesses of natural order
Greek	Rustic deities			Eunomia (Ευνομία), spirit of good order, and springtime goddess of green pastures
Greek	Rustic deities			Dike (Δίκη), spirit of justice, may have represented springtime growth
Greek	Rustic deities			Eirene (Ειρήνη), spirit of peace and goddess of the springtime
Greek	Rustic deities			The goddesses of springtime growth
Greek	Rustic deities			Thallo (Θαλλώ), goddess of spring buds and shoots, identified with Eirene
Greek	Rustic deities			Auxo (Αυξώ), goddess of spring growth
Greek	Rustic deities			Karpo (Καρπώ), goddess of the fruits of the earth
Greek	Rustic deities			The goddesses of welfare
Greek	Rustic deities			Pherousa (Φέρουσα) "the bringer"
Greek	Rustic deities			Euporie (Ευπορίη) "abundance"
Greek	Rustic deities			Orthosie (Ορθοσίη) "prosperity"
Greek	Rustic deities			The goddesses of the natural portions of time and the times of day
Greek	Rustic deities			Auge (Αυγή), first light of the morning
Greek	Rustic deities			Anatole (Ανατολή) or Anatolia (Ανατολία), sunrise
Greek	Rustic deities			Mousika or Musica (Μουσική), the morning hour of music and study
Greek	Rustic deities			Gymnastika, Gymnastica (Γυμναστίκή) or Gymnasia (Γυμνασία), the morning hour of gymnastics/exercise
Greek	Rustic deities			Nymphe (Νυμφή), the morning hour of ablutions (bathing, washing)
Greek	Rustic deities			Mesembria (Μεσημβρία), noon
Greek	Rustic deities			Sponde (Σπονδή), libations poured after lunch
Greek	Rustic deities			Elete, prayer, the first of the afternoon work hours
Greek	Rustic deities			Akte, Acte (Ακτή) or Cypris (Κυπρίς), eating and pleasure, the second of the afternoon work hours
Greek	Rustic deities			Hesperis (Έσπερίς), evening
Greek	Rustic deities			Dysis (Δύσις), sunset
Greek	Rustic deities			Arktos (Άρκτος), night sky, constellation
Greek	Rustic deities			The goddesses of seasons of the year
Greek	Rustic deities			Eiar (Είαρ), spring
Greek	Rustic deities			Theros (Θέρος), summer
Greek	Rustic deities			Pthinoporon (Φθινόπωρον), autumn
Greek	Rustic deities			Cheimon (Χειμών), winter
Greek	Rustic deities			Korybantes (Κορύβαντες), the crested dancers who worshipped Cybele
Greek	Rustic deities			Damneus (Δαμνεύς) "the one who tames(?)"
Greek	Rustic deities			Idaios (Ιδαίος) "of Mount Ida"
Greek	Rustic deities			Kyrbas (Κύρβας), whose name is probably a variant of Korybas, singular for "Korybantes"
Greek	Rustic deities			Okythoos (Ωκύθοος) "the one running swiftly"
Greek	Rustic deities			Prymneus (Πρυμνεύς) "of lower areas(?)"
Greek	Rustic deities			Pyrrhichos (Πυρῥιχος), god of the rustic dance
Greek	Rustic deities			Ma, a local goddess at Comana in Cappadocia
Greek	Rustic deities			Maenades (μαινάδες), crazed nymphs in the retinue of Dionysus
Greek	Rustic deities			Methe (Μέθη), nymph of drunkenness
Greek	Rustic deities			Meliae (Μελίαι), nymphs of honey and the ash tree
Greek	Rustic deities			Naiades (Ναιάδες), fresh water nymphs
Greek	Rustic deities			Daphne (Δάφνη)
Greek	Rustic deities			Metope (Μετώπη)
Greek	Rustic deities			Minthe (Μίνθη)
Greek	Rustic deities			The Nymphai Hyperboreioi (Νύμφαι Υπερβόρειοι), who presided over aspects of archery
Greek	Rustic deities			Hekaerge (Εκαέργη), represented distancing
Greek	Rustic deities			Loxo (Λοξώ), represented trajectory
Greek	Rustic deities			Oupis (Ουπις), represented aim
Greek	Rustic deities			Oreades (Ὀρεάδες), mountain nymphs
Greek	Rustic deities			Adrasteia (Αδράστεια), a nursemaid of the infant Zeus
Greek	Rustic deities			Echo (Ηχώ), a nymph cursed never to speak except to repeat the words of others
Greek	Rustic deities			The Ourea (Ούρος), primeval gods of mountains
Greek	Rustic deities			The Palici (Παλικοί), a pair of rustic gods who presided over the geysers and thermal springs in Sicily
Greek	Rustic deities			Pan (Πάν), god of shepherds, pastures, and fertility
Greek	Rustic deities			Potamoi (Ποταμοί), river gods
Greek	Rustic deities			Achelous (Αχέλους)
Greek	Rustic deities			Acheron (Αχέρων)
Greek	Rustic deities			Acis (Άκις)
Greek	Rustic deities			Alpheus (Αλφειός)
Greek	Rustic deities			Asopus (Ασωπός)
Greek	Rustic deities			Cladeus (Κλάδεος)
Greek	Rustic deities			Cocytus (Kωκυτός)
Greek	Rustic deities			Eurotas (Ευρώτας)
Greek	Rustic deities			Lethe (λήθη)
Greek	Rustic deities			Nilus (Νείλος)
Greek	Rustic deities			Peneus (Πηνειός)
Greek	Rustic deities			Phlegethon (Φλεγέθων)
Greek	Rustic deities			Scamander (Σκάμανδρος)
Greek	Rustic deities			Styx (Στύξ)
Greek	Rustic deities			Rhea (Ῥέα), the great mother and queen of the mountain wilds
Greek	Rustic deities			Satyrs (Σάτυροι) / Satyress, rustic fertility spirits
Greek	Rustic deities			Krotos (Κρότος), a great hunter and musician who kept the company of the Muses on Mount Helicon
Greek	Rustic deities			Silenus (Σειληνός), an old rustic god of the dance of the wine-press
Greek	Rustic deities			Telete (Τελέτη), goddess of initiation into the Bacchic orgies
Greek	Rustic deities			Zagreus (Ζαγρεύς), in the Orphic mysteries, the first incarnation of Dionysus
Greek	Rustic deities
Greek	Agricultural deities			Adonis (Άδωνις), a life-death-rebirth deity
Greek	Agricultural deities			Aphaea (Αφαία), minor goddess of agriculture and fertility
Greek	Agricultural deities			Ariadne (Ἀριάδνη), goddess of vegetation, mazes, paths, fertility, and wine
Greek	Agricultural deities			Carme (Κάρμη), a Cretan spirit who presided over the harvest festival
Greek	Agricultural deities			Carmanor (Καρμάνωρ), a Cretan harvest god
Greek	Agricultural deities			Chrysothemis (Χρυσόθεμις), goddess of the "Golden Custom", a harvest festival, daughter of Demeter and Carmanor
Greek	Agricultural deities			Cyamites (Κυαμίτης), demi-god of the bean
Greek	Agricultural deities			Demeter (Δημήτηρ), goddess of fertility, agriculture, grain, and harvest
Greek	Agricultural deities			Despoina (Δέσποινη), daughter of Poseidon and Demeter, goddess of mysteries in Arcadia
Greek	Agricultural deities			Dionysus (Διόνυσος), god of viticulture and wine
Greek	Agricultural deities			Eunostus (Εύνοστος), goddess of the flour mill
Greek	Agricultural deities			Hestia (Ἑστία), maiden goddess of the hearth who presided over the baking of bread, mankind's staple food
Greek	Agricultural deities			Persephone (Περσεφόνη), queen of the underworld, wife of Hades and goddess of spring growth
Greek	Agricultural deities			Philomelus (Φιλόμελος), agricultural demi-god inventor of the wagon and the plough
Greek	Agricultural deities			Plutus (Πλοῦτος), god of wealth, including agricultural wealth, son of Demeter
Greek	Agricultural deities			Triptolemus (Τριπτόλεμος), god of farming and agriculture, he brought agriculture to Greece
Greek	Agricultural deities			Health deities[edit]
Greek	Agricultural deities			Apollo (Ἀπόλλων), god of healing and medicine
Greek	Agricultural deities			Asclepius (Ασκληπιός), god of medicine
Greek	Agricultural deities			Aceso (Ἀκεσώ), goddess of the healing of wounds and the curing of illnesses
Greek	Agricultural deities			Aegle (Αἴγλη), goddess of radiant good health
Greek	Agricultural deities			Epione (Ἠπιόνη), goddess of the soothing of pain
Greek	Agricultural deities			Hygieia (Ὑγεία), goddess of cleanliness and good health
Greek	Agricultural deities			Iaso (Ἰασώ), goddess of cures, remedies, and modes of healing
Greek	Agricultural deities			Paean (Παιάν), physician of the gods
Greek	Agricultural deities			Panacea (Πανάκεια), goddess of healing
Greek	Agricultural deities			Telesphorus (Τελεσφόρος), demi-god of convalescence, who "brought to fulfillment" recuperation from illness or injury
Greek	Other deities
Greek	Other deities			Acratopotes (Ἀκρατοπότης), god of unmixed wine
Greek	Other deities			Adrastea (Αδράστεια), a daughter of Ares and Aphrodite, or an epithet of Nemesis
Greek	Other deities			Agdistis (Ἄγδιστις), Phrygian hermaphroditic deity
Greek	Other deities			Alexiares and Anicetus (Αλεξιαρης and Ανικητος), twin sons of Heracles who presided over the defence of fortified towns and citadels
Greek	Other deities			Aphroditus (Ἀφρόδιτος), Cyprian hermaphroditic Aphrodite
Greek	Other deities			Astraea (Αστραία), virgin goddess of justice
Greek	Other deities			Auxesia (Αυξησία) and Damia (Δαμία), two local fertility goddesses
Greek	Other deities			Charites (Χάριτες), goddesses of charm, beauty, nature, human creativity, and fertility
Greek	Other deities			Aglaea (Αγλαΐα), goddess of beauty, adornment, splendor and glory
Greek	Other deities			Euphrosyne (Εὐφροσύνη), goddess of good cheer, joy, mirth, and merriment
Greek	Other deities			Thalia (Θάλεια), goddess of festive celebrations and rich and luxurious banquets
Greek	Other deities			Hegemone (Ηγεμόνη) "mastery"
Greek	Other deities			Antheia (Άνθεια), goddess of flowers and flowery wreaths
Greek	Other deities			Pasithea (Πασιθέα), goddess of rest and relaxation
Greek	Other deities			Cleta (Κλήτα) "the glorious"
Greek	Other deities			Phaenna (Φαέννα) "the shining"
Greek	Other deities			Eudaimonia (Ευδαιμονία) "happiness"
Greek	Other deities			Euthymia (Ευθυμία) "good mood"
Greek	Other deities			Calleis (Καλλείς) "beauty"
Greek	Other deities			Paidia (Παιδία) "play, amusement"
Greek	Other deities			Pandaisia (Πανδαισία) "banquet for everyone"
Greek	Other deities			Pannychis (Παννυχίς) "all-night (festivity)"
Greek	Other deities			Ceraon (Κεραων), demi-god of the meal, specifically the mixing of wine
Greek	Other deities			Chrysus (Χρύσος), spirit of gold
Greek	Other deities			Circe (Κίρκη), goddess-witch of Aeaea
Greek	Other deities			Daemones Ceramici (Δαίμονες Κεραμικοί), five malevolent spirits who plagued the craftsman potter
Greek	Other deities			Syntribos (Σύντριβος), the shatterer
Greek	Other deities			Smaragos (Σμάραγος), the smasher
Greek	Other deities			Asbetos (Ασβετος), the charrer
Greek	Other deities			Sabaktes (Σαβάκτης), the destroyer
Greek	Other deities			Omodamos (Ωμόδαμος), crudebake
Greek	Other deities			Deipneus (Δειπνεύς), demi-god of the preparation of meals, specifically the making of bread
Greek	Other deities			Eiresione (Ειρεσιώνη), personification of the olive branch
Greek	Other deities			Eileithyia (Εἰλείθυια), goddess of childbirth
Greek	Other deities			Enyalius (Ενυάλιος), minor god of war
Greek	Other deities			Enyo (Ἐνυώ), goddess of destructive war
Greek	Other deities			Glycon (Γλύκων), a snake god
Greek	Other deities			Harpocrates (Ἁρποκράτης), god of silence
Greek	Other deities			Hermaphroditus (Ἑρμάφρόδιτός), god of hermaphrodites and effeminate men
Greek	Other deities			Hymenaios (Ὑμέναιος), god of marriage and marriage feasts
Greek	Other deities			Ichnaea (Ιχναία), goddess of tracking
Greek	Other deities			Iynx (Ιύνξ), goddess of the love charm
Greek	Other deities			Matton (Μάττων), demi-god of the meal, specifically the kneading of dough
Greek	Other deities			Muses (Μούσαι), goddesses of music, song and dance, and the source of inspiration to poets
Greek	Other deities			Titan Muses, daughters of Uranus and Gaia
